PASSENGERS,FREIGHT,MAIL,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,YEAR,MONTH
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10155,30155,ACT,"Waco, TX",TX,12892,32575,LAX,"Los Angeles, CA",CA,2024,3
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,30185,AEX,"Alexandria, LA",LA,11292,30325,DEN,"Denver, CO",CO,2024,3
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10257,30257,ALB,"Albany, NY",NY,10721,30721,BOS,"Boston, MA",MA,2024,3
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10540,30540,BED,"Bedford, MA",MA,10721,30721,BOS,"Boston, MA",MA,2024,1
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10559,30559,BFI,"Seattle, WA",WA,12892,32575,LAX,"Los Angeles, CA",CA,2024,3
39685,6366,0,DL,Delta Air Lines Inc.,10599,30599,BHM,"Birmingham, AL",AL,10397,30397,ATL,"Atlanta, GA",GA,2024,5
38068,5487,0,DL,Delta Air Lines Inc.,10599,30599,BHM,"Birmingham, AL",AL,10397,30397,ATL,"Atlanta, GA",GA,2024,6
36766,9702,0,DL,Delta Air Lines Inc.,10599,30599,BHM,"Birmingham, AL",AL,10397,30397,ATL,"Atlanta, GA",GA,2024,10
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10693,30693,BNA,"Nashville, TN",TN,10721,30721,BOS,"Boston, MA",MA,2024,3
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10693,30693,BNA,"Nashville, TN",TN,13930,30977,ORD,"Chicago, IL",IL,2024,3
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10990,30990,CHO,"Charlottesville, VA",VA,12264,30852,IAD,"Washington, DC",VA,2024,1
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11049,31049,CLL,"College Station/Bryan, TX",TX,13930,30977,ORD,"Chicago, IL",IL,2024,3
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11066,31066,CMH,"Columbus, OH",OH,12264,30852,IAD,"Washington, DC",VA,2024,1
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11066,31066,CMH,"Columbus, OH",OH,12264,30852,IAD,"Washington, DC",VA,2024,3
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11067,31067,CMI,"Champaign/Urbana, IL",IL,13930,30977,ORD,"Chicago, IL",IL,2024,2
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11193,33105,CVG,"Cincinnati, OH",KY,12892,32575,LAX,"Los Angeles, CA",CA,2024,2
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11193,33105,CVG,"Cincinnati, OH",KY,12892,32575,LAX,"Los Angeles, CA",CA,2024,3
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11193,33105,CVG,"Cincinnati, OH",KY,13930,30977,ORD,"Chicago, IL",IL,2024,1
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11267,31267,DAY,"Dayton, OH",OH,12264,30852,IAD,"Washington, DC",VA,2024,1
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11292,30325,DEN,"Denver, CO",CO,13930,30977,ORD,"Chicago, IL",IL,2024,2
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11618,31703,EWR,"Newark, NJ",NJ,12264,30852,IAD,"Washington, DC",VA,2024,3
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11697,32467,FLL,"Fort Lauderdale, FL",FL,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,2024,3
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11995,31995,GSO,"Greensboro/High Point, NC",NC,11292,30325,DEN,"Denver, CO",CO,2024,2
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11995,31995,GSO,"Greensboro/High Point, NC",NC,12264,30852,IAD,"Washington, DC",VA,2024,1
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12889,32211,LAS,"Las Vegas, NV",NV,12264,30852,IAD,"Washington, DC",VA,2024,2
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12892,32575,LAX,"Los Angeles, CA",CA,13930,30977,ORD,"Chicago, IL",IL,2024,3
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13495,33495,MSY,"New Orleans, LA",LA,13204,31454,MCO,"Orlando, FL",FL,2024,2
0,0,0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13891,32575,ONT,"Ontario, CA",CA,13303,32467,MIA,"Miami, FL",FL,2024,1
