id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
75212,Sunny Room only in town house nr Long Beach…,343761,Kris,Other Cities,Lakewood,33.8465,-118.08244,Private room,65,2,77,2025-01-12,0.46,1,330,7,
76561,420 Friendly Sweet Lil' Guesthouse by Sofi & LAX,403838,Jennifer,Unincorporated Areas,View Park-Windsor Hills,33.98522,-118.35942,Entire home/apt,109,2,902,2025-02-16,5.30,4,136,60,
79502,Silver Lake  million dollar view * luxe patio,428171,H.,City of Los Angeles,Silver Lake,34.08285903930664,-118.27875518798828,Entire home/apt,106,30,300,2024-10-10,1.78,2,360,2,
79832,Guest Quarters @ the Hollywood Sign,28569,Robert,City of Los Angeles,Hollywood Hills,34.12801,-118.31919,Entire home/apt,110,30,483,2021-01-18,2.84,1,60,0,HSR19-002716
80714,Cozy secluded Guesthouse in Garden,436647,Cari,City of Los Angeles,Mid-Wilshire,34.05798,-118.35541,Entire home/apt,109,30,197,2024-12-17,1.16,1,337,5,HSR19-003488
84636,"Motel Rm for rent ,Free Wifi and Parking",195697,Andy,Other Cities,Lynwood,33.91942,-118.20913,Private room,,1,278,2024-11-08,1.66,6,0,5,
84789,Mid-Century Rambling Rancher 4+3 Woodland Hills,11619,Sarah,City of Los Angeles,Woodland Hills,34.16708,-118.64441,Entire home/apt,379,30,126,2022-07-01,0.97,6,270,0,
85246,Charming Centrally Located Private Room/Bath,466662,Natalie,City of Los Angeles,Mid-Wilshire,34.05467,-118.36356,Private room,97,30,21,2024-11-02,0.12,2,275,1,
86674,"Glamourous Silver Lake hills Luxe
patio city views",428171,H.,City of Los Angeles,Silver Lake,34.08195,-118.2784,Entire home/apt,104,30,277,2024-04-01,1.68,2,257,1,
86945,See Hollywood! The Most Central!,476742,JoyAnne,City of Los Angeles,Beverly Grove,34.08483,-118.36664,Private room,,30,51,2018-09-14,0.30,1,0,0,
87595,Good Vibe-Split Level Garden Studio-LAX/Beach/City,479630,Corbin,City of Los Angeles,Westchester,33.96731,-118.41919,Entire home/apt,109,31,465,2024-10-29,2.76,1,167,2,HSR19-003197
90986,Vintage Charming Guest House,491953,Cheryl Francis,City of Los Angeles,Mid-City,34.03948,-118.34081,Entire home/apt,105,180,1,2011-05-21,0.01,1,365,0,
96334,Private room in a cozy creative home,511559,Julie,City of Los Angeles,Woodland Hills,34.15504,-118.6031,Private room,59,30,26,2019-07-22,0.15,1,75,0,Exempt - This listing is a transient occupancy residential structure
97000,Motel Rm 2beds/micro/fridge/AC/wifi,195697,Andy,Other Cities,Lynwood,33.91942,-118.20913,Private room,,1,102,2024-09-22,0.62,6,0,2,
