neighbourhood,price,availability_365,minimum_nights,long_term_stays,short_term_stays,reviews_per_month,number_of_reviews_ltm,number_of_reviews_ltm,distance_from_airport,population,house_value,neighbourhood_count,passengers,visitors,airport_code
,mean,mean,mean,mean,mean,mean,mean,sum,mean,mean,first,count,mean,mean,first
Allston,131.82,191.63,48.9,0.73,0.27,1.48,8.63,1787,6.51,24904.0,959104.18,207,16940423,1292000,BOS
Back Bay,243.53,197.03,24.97,0.58,0.42,1.56,10.96,3758,4.06,18190.0,3806782.88,343,16940423,1292000,BOS
Bay Village,348.24,226.08,11.32,0.24,0.76,1.37,8.31,831,3.39,0.0,1864890.78,100,16940423,1292000,BOS
Beacon Hill,148.19,131.54,29.64,0.74,0.26,1.57,10.2,2356,3.22,9336.0,4228172.77,231,16940423,1292000,BOS
Brighton,150.06,179.87,35.93,0.64,0.36,1.48,9.02,2868,7.56,52047.0,964187.81,318,16940423,1292000,BOS
Charlestown,277.88,166.8,25.4,0.48,0.52,1.07,9.57,804,3.22,19120.0,1509910.28,84,16940423,1292000,BOS
Chinatown,526.49,239.51,39.17,0.91,0.09,0.89,5.25,399,2.97,6211.0,0.0,76,16940423,1292000,BOS
Dorchester,141.78,202.39,29.58,0.59,0.41,1.38,10.05,5892,5.13,122191.0,0.0,586,16940423,1292000,BOS
Downtown,253.26,222.2,21.04,0.48,0.52,2.83,20.2,8586,2.94,13768.0,0.0,425,16940423,1292000,BOS
East Boston,162.87,180.47,25.62,0.41,0.59,2.7,23.8,5521,1.67,43066.0,760526.79,232,16940423,1292000,BOS
Fenway,236.43,192.46,27.94,0.51,0.49,1.92,15.7,3972,4.82,37493.0,1151692.0,253,16940423,1292000,BOS
Hyde Park,132.65,220.31,23.69,0.57,0.43,1.11,8.12,625,9.5,34172.0,650743.21,77,16940423,1292000,BOS
Jamaica Plain,214.25,157.53,29.94,0.54,0.46,1.21,10.31,2444,6.36,40015.0,1122450.79,237,16940423,1292000,BOS
Leather District,227.0,215.0,45.83,1.0,0.0,0.56,3.17,19,2.88,0.0,0.0,6,16940423,1292000,BOS
Longwood Medical Area,446.89,170.96,13.7,0.19,0.81,1.0,5.11,138,5.45,0.0,0.0,27,16940423,1292000,BOS
Mattapan,169.43,220.65,16.79,0.37,0.63,1.04,7.35,463,7.33,23840.0,602378.26,63,16940423,1292000,BOS
Mission Hill,114.97,195.29,32.19,0.53,0.47,1.63,12.07,1038,5.59,17518.0,995481.04,86,16940423,1292000,BOS
North End,227.15,198.06,22.79,0.39,0.61,2.09,13.31,1584,2.52,10805.0,1496745.09,119,16940423,1292000,BOS
